0312345678 | Nguyen Van Anh | nguyenvananh03@gmail.com | nguyenvananh03 | 01/02/2004 | 0903123123 | HCM | CNTT | CNTT-01 | student
0387654321 | Nguyen Hoang Long | nguyenhoanglong03@gmail.com | nguyenhoanglong03 | 01/02/2004 | 0903143678 | HCM | LOG | LOG-01 | student
0345223456 | Duong Van Tan | duonvantan03@gmail.com | duongvantan03 | 01/02/2007 | 0903254674 | HCM | CNTT | CNTT-01 | student
0345678869 | Do Nguyen Phuc | donguyenphuc03@gmail.com | donguyenphuc03 | 01/02/2006 | 0903569356 | HCM | LOG | LOG-02 | student
0356789123 | Tran Thi Mai | tranthimai03@gmail.com | tranthimai03 | 01/02/2006 | 0903678912 | HCM | CNTT | CNTT-02 | student
0367891234 | Pham Van Hung | phamvanhung03@gmail.com | phamvanhung03 | 01/02/2006 | 0903789123 | HCM | CNTT | CNTT-02 | student
0378912345 | Le Thi Huong | lethihuong03@gmail.com | lethihuong03 | 01/02/2004 | 0903891234 | HCM | CNTT | CNTT-02 | student
0389123456 | Hoang Van Minh | hoangvanminh03@gmail.com | hoangvanminh03 | 01/02/2002 | 0903912345 | HCM | CNTT | CNTT-02 | student
0391234567 | Nguyen Thi Lan | nguyenthilan03@gmail.com | nguyenthilan03 | 01/02/2002 | 0903912345 | HCM | CNTT | CNTT-02 | student
0301234567 | Pham Thi Hong | phamthihong03@gmail.com | phamthihong03 | 01/02/2002 | 0903012345 | HCM | CNTT | CNTT-02 | student
0312345678 | Nguyen Van An | nguyenvanan03@gmail.com | nguyenvananh03 | 01/05/2003 | 0903123123 | HCM | CNTT | CNTT-01 | student
0301234567 | Pham Thi Trang | phamthitrang03@gmail.com | phamthitrang03 | 01/04/2003 | 0903012345 | HCM | CNTT | CNTT-02 | student
0345678910 | Phan Huynh Minh Anh | phanhuynhminhanh03@gmail.com | phanhuynhminhanh03 | 01/09/2006 | 0903040506 | HN | Luat | LAW-01 | student
0314526744 | Huynh Van Banh | huynhvanbanh03@gmail.com | huynhvanbanh03 | 24/09/2026 | 0905306374 | QN | CNTT | CNTT-01 | student
0392340001 | Tran Van A | tranvana01@gmail.com | tranvana01 | 05/03/2003 | 0902340001 | HCM | CNTT | CNTT-03 | student
0392340002 | Le Thi B | lethib02@gmail.com | lethib02 | 12/07/2004 | 0902340002 | HN | KIN | KIN-01 | student
0392340003 | Nguyen Van C | nguyenvanc03@gmail.com | nguyenvanc03 | 21/11/2002 | 0902340003 | DN | LOG | LOG-03 | student
0392340004 | Pham Thi D | phamthid04@gmail.com | phamthid04 | 09/01/2005 | 0902340004 | HCM | CNTT | CNTT-03 | student
0392340005 | Hoang Van E | hoangvane05@gmail.com | hoangvane05 | 30/06/2003 | 0902340005 | HN | LAW | LAW-02 | student
0392340006 | Vu Thi F | vuthif06@gmail.com | vuthif06 | 14/02/2004 | 0902340006 | HCM | CNTT | CNTT-04 | student
0392340007 | Bui Van G | buivang07@gmail.com | buivang07 | 03/09/2002 | 0902340007 | QN | CNTT | CNTT-03 | student
0392340008 | Do Thi H | dothih08@gmail.com | dothih08 | 27/12/2003 | 0902340008 | HCM | LOG | LOG-04 | student
0392340009 | Tran Thi I | tranthii09@gmail.com | tranthii09 | 16/05/2004 | 0902340009 | DN | CNTT | CNTT-05 | student
0392340010 | Nguyen Van J | nguyenvanj10@gmail.com | nguyenvanj10 | 01/10/2002 | 0902340010 | HN | KIN | KIN-02 | student
0392340011 | Le Van K | levang11@gmail.com | levang11 | 22/04/2003 | 0902340011 | HCM | LOG | LOG-05 | student
0392340012 | Phan Thi L | phanthil12@gmail.com | phanthil12 | 19/08/2005 | 0902340012 | HN | LAW | LAW-03 | student
0392340013 | Nguyen Thi M | nguyenthim13@gmail.com | nguyenthim13 | 11/11/2003 | 0902340013 | HCM | CNTT | CNTT-06 | student
0392340014 | Tran Van N | tranvann14@gmail.com | tranvann14 | 04/02/2004 | 0902340014 | DN | CNTT | CNTT-05 | student
0392340015 | Hoang Thi O | hoangthio15@gmail.com | hoangthio15 | 29/07/2002 | 0902340015 | HCM | KIN | KIN-03 | student
